comment,title,product_id,verification_status,likes,created_at
لطفاً موجود کنید چون در بازار نیست,با کیفیت,147751,rejected,0,2019-05-23 08:22:12
.............,گلنار....یار قدیمی,602580,rejected,0,2019-05-23 08:20:34
من 2 ماه استفاده کرم سیمش فوری خراب شد کیفیتشم اصلا خوب نیس گارانتی هم نداره اصلا بدرد نمیخوره,پیشنهاد نمیکنم,696471,rejected,0,2019-05-23 08:20:04
خیلی گران اصلا ارزش نداره.نخرید ارزان بشه.,ارزش خرید نداره به این قیمت,147516,rejected,0,2019-05-23 08:18:47
دو ماه هست دارم ازش استفاده میکنم و بسیار راضی ام.برای خرد کردن پیاز و گوجه و سبزی عالیه.حتی گردو و خیارشور و مواد سالاد اولویه رو بدون له شدن خرد میکنه.,خرد کن همه کاره,442838,verified,0,2019-05-23 08:18:44
متاسفانه من این یخچال رو از بیرون خریداری کردم و متاسفانه کیفیت ورق و ساخت بسیار نازل که نصاب شرکت میگه بعد از تحریمها متاسفانه همه مورد داره .واسه من اول دریخچال بسته نمیشد. و چند روز بعد یخچال بردش روشن نمیشد.این واسه استفاده یک هفته فقط,کیفیت ساخت افتضاح,1008141,rejected,0,2019-05-23 08:18:28
عالی و خوشبو,عالی,97754,verified,0,2019-05-23 08:16:54
زیادی صیقلی بودند و انعطاف پذیری کمی دارند که باعث میشه پیچ ها و اتصالات سخت بسته شوند و زود پیچها شل میشن اما در مجموع خوبه,کیفیت متوسط,291939,verified,0,2019-05-23 08:14:02
👍🏻👍🏻👍🏻👍🏻,awliiii,334514,rejected,0,2019-05-23 08:12:58
زیباست و قیمت مناسبی داره اما یه کم سنگینه و سیم هاش رو باید زیر موها پنهان کنید و جعبه باتری و کنترلش رو هم با گیره ای که دارد در پشت سر وصل کنید و پنهان کنید,زیبا,349598,verified,0,2019-05-23 08:12:22
"تومشخصات ودفترچه گوشی نوشت 8گیگ
ولی حافظه اصلیش 4دراومد
منم بخاطر8بودنش گرفتم",حافظه,560263,verified,0,2019-05-23 08:12:04
"نوشته ند ک در برابر شعله سیاه میشه...
خب دادا همه تیوبا سیاه میشه اگ شعله بگیری... باید با سشوار خونگی یا صنعتی بگیری بهش تا خودشو جمع کنه

برا کابل یک متری خوبه ن بیشتر
تیوبش ک فقط برا کابل ایفون خوبه اون سر کوچیکه ش و ن کابل دیگه ای",ب نظرم خوبه ولی با قیمت قبل ک خریدم ن قیمت الان,1080549,rejected,0,2019-05-23 08:11:33
خوشگل و کوچولو و جمع جور و باریک و پر سرعت و 2بار کامل و یک بار نصفه باتری 3200 رو شارژ میکنه دکمه روشن و خاموش و چراغ میزان شارژ داره، وقتی به گوشی وصل میشه تا دکمه پاور رو نزنید شروع به شارژ نمیکنه و هر زمان خواستید هم میتونید متوقف کنید واقعا عالیه و کاربردی,عالی,197344,verified,0,2019-05-23 08:08:45
هر کی خاست من بهش میدم به 2100,دستمال,1129585,rejected,0,2019-05-23 08:05:49
اصلاً خوب نبود بیشتر از ۱۰ مرتبه استفاده نشد خیلی سریع پاره شد...,کیفیت بسیار پایین این محصول,1548478,verified,0,2019-05-23 08:04:04
با توجه به نظرات کاربران گرفتم ولی بوی خوبی نداره,خیلی بد,143594,verified,0,2019-05-23 08:03:27
من و خواهرم دوتا خریدیم و بعد از حدود 1 سال استفاده راضی هستیم،گوشی هاش نرمه و با کیفیته و به سر و گوش فشار نمیاره کیفیتش خوبه نسبت به قیمتش خیلی کارایی داره همین که باتری قابل تعویض داره بزرگترین مزیتش چراغ های زیبا دارد و رقص نور هماهنگ با موسیقی بلوتوث (هرچند برای سلامتی مضر از بلوتوثش زیاد استفاده نکنید چون رو سر هست) ولی همینکه میکروفون داره برای مواقع ضروری مناسبه و صفحه نمایشگرش و مجزا بودن دکمه های صدا و عقب و جلو بردن از مزیتهای خیلی خوبین در مجموع عالیه به نظرم رنگ سفیدش جنس پلاستیکش یه زره خشک تره و در اثر استفاده زودتر گوشیهاش یه زره خشک شد ولی رنگ صورتی خیلی نرمو لطیف مونده و انعطاف پذیره وبرای داخل کیف خیلی کوچیک جمع میشه و فضای زیادی اشغال نمیکنه,عالیه,367424,verified,0,2019-05-23 08:01:56
کالاهای کپی همیشه همینطور هستن بنده موجوع کردم,یک گوشی کار نمیکرد و أصلا صدا نداشت و طرف مقابل صدای من را نمیشنید,1061013,rejected,0,2019-05-23 08:01:52
ممنون از دیجی کالا,تشکر,1492548,verified,0,2019-05-23 08:01:49
این واقعا نمونه کامل یک مچ بند هوشمنده ورزشی فوق العادس خیلی منتظرش بودم تا تو ایران موجود بشه و بشه تهیش کرد ، خیلی دقیق و تمام وقت تمام فعالیت های ورزشی یا غیر ورزشیتونو زیر نظر داره ، این مچبند اینقدر راحت و جذاب هست که اصلا دلتون نمیخواد از دستتون درش بیارید ، درواقع نیازی هم به در آوردنش تا 14 روز ندارید البته بعد از اونم فقط به 1 و نیم ساعت زمان نیاز دارید تا فول شارژ بشه ، از جذابیت های دیگه ای که این مچ بند هوشمند داره اینه که مود های ورزشی مختلف داره و واسه هرکدومش بهتون یه سری پیشنهاد میده داخل اپلیکیشن HUAWEI HEALTH که خیلی مفید هستن و اگر بهشون عمل کنید بازدتون بالاتر میره و بجز اینا دیگه همه قابلیت هایی که یه مچ بند هوشمند باید داشته باشرو داره و چون سنسور 6 محوره داره خیلی دقیق محاسبه میکنه و ضد آبه کاملا ، میشه به وسیله پایه ای که داره به کفشتون وصلش کنید اگر روی دست راحت نیستین و برین برای پیاده روی و دویدن و مطمئن باشین که خیلی دقیق کالری و مسافت و .. رو حساب میکنه براتون پایش دقیق خواب هم داره و باز هم پیشنهاد میده برای خواب بهترتون در کل این گجت پوشیدنی خیلی عالیه,یک عالم خدمات در ابعاد بسیار کوچک,1638822,verified,0,2019-05-23 07:57:33
اصلا فکر نمی کردم به این خوبی و راحتی باشه...... عالیه,حتما پیشنهاد می کنم,526717,verified,0,2019-05-23 07:54:42
قیمت واقعی این نیست من از سایت آمازون قیمت واقعی رو چک کردم حدود 6 میلیونه که اگه سفارش ایران بدی حدود 8 میلیون و نیم در میاد لطفا قیمت واقعی جعلی نزارید,قیمت واقعی,1540951,rejected,0,2019-05-23 07:54:29
خوب بود,عالی,212018,verified,0,2019-05-23 07:54:15
کیفیت صدا در هنگام صحبت کردن خیلی پایین هست,هدفون,728790,verified,0,2019-05-23 07:53:58
همیشه استرس داشتم اگه یه زمانی پیدا نشه چه میکنم.. خیلی عالی بود از سال نود این ریمل رو استفاده می کردم کاش دوباره تولید بشه,چرا توقف تولید,81848,rejected,0,2019-05-23 07:53:57
نسبت به اندازش باد دهی خوبی داره ولی خیلی ظریفه به نظرم این قیمت براش زیاده,نظر,226160,verified,0,2019-05-23 07:53:00
افزایش قیمت 7-8 تمنی در یک هفته!!,قیمت,680978,rejected,0,2019-05-23 07:52:40
تعجب میکنم کاور به این قشنگی رو چرا این عکسها رو گذاشتند. خود کاور به مراتب از عکسهاش قشنگ تره. من این و دارم. گوشه هاش طوری طراحی شده که خیلی خوب جلوی ضربه رو میگیره.,کاور WK,1475359,rejected,0,2019-05-23 07:51:01
"از خدا بترسین ....به خدا من دیروز این کفسو گرفتم ۲۶۰ تومن
....مردم خودشون بدبختن ...اینقد نکشین رو جنسا",گرونه,868175,rejected,0,2019-05-23 07:49:45
یکی از بهترین کاورهای موجود در دیجی کالا. خیلی باکلاس و شیکه,سانتا باربارا,1475570,rejected,0,2019-05-23 07:48:47
خیلی عالیه خیلی هم نرم وخوش دسته رنگ قرمزش روسفارش دادم خیلی خوش رنگه بیشترزرشکیه تاقرمز,کیف زیبا,348138,verified,0,2019-05-23 07:47:46
واقعا خودش از چیزی که توی عکس میبینید قشنگ تره. کیفیت فوق العاده بالایی داره,STACCATO,1041691,rejected,0,2019-05-23 07:47:15
کاش سایزسینی روبه سانت میذاشتین بزرگترازاونیه که توعکس بودمورددیگه هم اینکه لبه های سینی باهم برابرنیست یک طرف کمتره,نقاط ضعف,991804,verified,0,2019-05-23 07:46:28
سانتا باربارا محصولات لوکس و خاص توتید میکنه. کاور لاکچری و زیباییه,کاور سانتا باربارا,1041610,rejected,0,2019-05-23 07:46:04
ساده و شیک. چاپ لگو موتورولا برجسته و با کیفیت. خیلی روی موبایل قشنگ میشه. راضی ام,کاور  boter,1003862,rejected,0,2019-05-23 07:44:41
روزای اول فقط چراغش روشن میشد وقتی به کامپیوتر وصل بود ولی نه فلش میخونه نه اصلا به روی خودش میاورد که وصله بعد چند روزی یه دفعه خودش درست شد خود به خود الانم کار میکنه ولی سیمش خیلی کوتاهه از پشت کیس نمیاد روی میز تا لبه میز میاد,حالی به حالی هر وقت دلش بخواد کار میکنه,389488,verified,0,2019-05-23 07:44:32
توعکس سایز واقعی وسایل رونمیشه تشخیص دادالبته شایدمن تجربه کافی نداشتم چون اولین باری بودکه به اینصورت خریدمیکردم,نقاط ضعف,1118342,rejected,0,2019-05-23 07:42:41
"با سلام خدمت دوستان
بنده ارایشگر هستم و هر مدلی که بگین و هر برندی که بخوای استفاده کردم...به نظر من این خط زن اصلا بدرد ارایشگر نمیخوره برای مصرف خانگی خوبه فقط ...",کالای بی کیفیت,800938,verified,0,2019-05-23 07:41:37
"به نظرم گوشی تلفن خوبیه
از نظر وزن خیلی سبکتر و شیک تر از پاناسونیکه
صداشم به نسبت خوبه",پیشنهاد میکنم,24426,verified,0,2019-05-23 07:38:32
سلام .یعنی من از شرکت دیجی کالا انتظار نداشتم من این محصول رو خریدم بعد یک هفته به دستم رسید ولی وای همش خورد شد بود زدم تو سر خودم چرا الکی پولمو خرج کردم که به دستم رسیده بود شکسته بود اینو کجای دلم بذارم,خرابی,1456466,rejected,0,2019-05-23 07:37:05
عالی عالی سامسونگ عالی وهواوی خیلی بده,سامسونگ بخرین هواوی حتی اخرین مدلش بعد یه ماه خرابکاری و هنگ میشه درجه یک میخواین سامسونگ بهترینه,1134243,rejected,0,2019-05-23 07:36:51
نسبت به عکس بزرگتر هستش و کادوی مناسبی میتونه باشه و خوب تر اینکه قابل شستشو هستش و رنگش تغییری نمیکنه,قشنگ,948840,verified,0,2019-05-23 07:30:05
این دانگل یک دانگل بسیار عالی و قوی با ظاهر زیباست که بدون هیچ مشکلی یا لگ یا تاخیری تصویر گوشیتونو روی انواع صفحه نمایش های مختلف نشون میده ، بنظر سیستم قوی ای داره چون میشه باهاش استریم هم کرد یعنی کلا بازی های باحال گوشیتونو رو مانیتور بزرگ بازی میکنید و ببینید که چقدر لذت بخش میتونه باشه تازه اونم با کیفیت بالا حالا اگر ultraHD هم ساپورت کنه که دیگه فوق العادس چون این دانگل به راحتی 4K هم ساپورت میکنه ، تازه میتونید فیلم ها و عکسای روی گوشیتونو خیلی راحت روی تلویزیون و یا صفحه نمایش های دیگه بندازید ، در ضمن شاید بگید بعضی تلویزیون ها خودشون این قابلیت رو دادن ، اما اکثرا با کلی لگ و تاخیر همراهه ، اگر از این دانگل استفاده بشه تصویر مثل آیینه در اختیارتون میزاره بدون لگ ، ظاهرش هم خوشگله و یجورایی خوش نما هستش در کل با کیفیت و کاراییش خیلی حال کردم مرسی,بهترین وسیله برای وصل کردن‌گوشی‌ به صفحه نمایشگر,1630158,verified,0,2019-05-23 07:29:28
"خیلی قشنگ تر از عکس هستش.
برای کادو دادن مناسب هستش چون سنگینی خاصی داره(منظورم وزنی نیست)",خیلی شیک خیلی,376602,verified,0,2019-05-23 07:27:36
سلام. این کت زنانه است. به عکس دوم از بغل توجه کنید,کت زنانه,1387217,rejected,0,2019-05-23 07:26:55
دو تادیگه از این دسته بازی خریده بودم دو تاهم برای خواهرم خریدم  کیفیت دسته ها راضی کننده هست و بدون مشکل وصل میشه با ویندوز ۱۰ هم سازگاره,معایب اکثر بازیها,195563,verified,0,2019-05-23 07:26:01
من یکی از این مدل رو از سال 88خریدم البته اون موقع 33تومن بود تا الان هر روز یا دو روز یک بار استفاده میکنم هیچیش خراب نشده .فقط بلافاصله بعد از حمام استفاده بشه و ضربه هم فویل فابریکش نخوره .عالییهههه,حتما بخرید,135015,rejected,0,2019-05-23 07:16:17
محافظ خوبیه بهتره حتما برای تبلت تون بخرید,کیف لنوو,1086505,verified,0,2019-05-23 07:15:54
درکل باتوجه به قیمت خوبه وهمونی بود که میخواستم باهمون کاراییها وبه موقع وسالم هم تحویل گرفتم رم ۶۴ انداختم روگوشی ومشکلی هم پیدانکرد.,تبلت لنووtab4 8,362898,verified,0,2019-05-23 07:14:14
"ماکت های مایستو دارای سه رده بندی کیفی اسپیشال ، پرایمر و اکسکلوسیو ، بوده ، که در کمال ناباوری دو رنگ دیگر از همین مدل برند مایستو تنها به دلیل رنگ متفاوت زودتر از این رنگ زرد تمام شده که نشان از پایین بودن معیار انتخاب از سوی خریداران رو میده در حالی که این رنگ مایستو موجود در دیجی کالا از سری بسیار کمیاب اکسکلوسیو  یعنی بالاترین رده کیفی محصولات مایستو بوده  که البته برای آماتور ها قابل فهم نیست علت تفاوت نزدیک سه برابری این سری با سری اسپیشال و البته شایان ذکر هم هست که نمونه رنگ این ماکت از کد رنگ اصلی(نه خود رنگ اصلی) لامبورگینی میباشد که به جذابیت و خاص تر بودن و کلکسیونی بودن این ماکت افزوده و همچنین که قیمت این ماکت از این سری کمیاب در سایت های بین المللی معادل ارزی بالای یک تا یک نیم میلیون تومانی داشته!
برای خریدش شک نداشته باشید",شاهرخ,386877,rejected,0,2019-05-23 07:11:57
من دیروز۲۳۸تومن خریدمش.الآن دیدم تخفیف خورده.منهای جنسش کلا خوبه.,فرانک یعقوبی,804066,rejected,0,2019-05-23 07:10:00
من کارم بادکنک آرایی هست این پمپ رو گرفتم و خیلی ازش راضی هستم البته من چند ماه پیش گرفتم  و به نسبت قیمتش خوبه,پمپ سرخابی,462639,verified,0,2019-05-23 07:09:55
توهمه سایت ها زدن چهار دنده ولی موتوری که من دارم دقیقا همینه و پنج دندس نقطه ضعفش گیریبکس پرصداشه و موتور حالتیه که دنده چهار براش کمه و دنده پنج براش زیاده!!!!حداکثر سرعتشم ۱۱۰یا۱۲۰تااست,معایب موتور,851507,rejected,0,2019-05-23 07:08:55
خیلی زیباست ، اصلا نمی شه تشخیص داد طلا نیست ، کیفیتش خیلی خوبه,خیلی قشنگه,501924,verified,0,2019-05-23 07:05:34
خیلی خوبه حتما پیشنهاد میکنم,شیک و مجلسی,958467,verified,0,2019-05-23 07:01:16
عالی ممنون از کاری که ساختین,عالی هست,584085,verified,0,2019-05-23 06:59:14
چسب این پایه قادر به نگهداری گوشی نبود. خوبه ولی باید از چسب‌های دیگه‌ای استفاده کنید,نمی‌چسبد,747301,verified,0,2019-05-23 06:55:52
خیلی بازی جذابیه و واقعا ساعت ها سرگرم کننده هست کیفیت صفحه ام دی اف بازی عالیه البته کیفیت مهره ها و کارتهای ضعیف هست و ای کاش میشد مثل نسخه خارجیش مپ جداگانه اضافه سفارش داد برای بزرگتر کردن صفحه بازیو اضافه کردن بازیکن ها,خیلی بازی جذابیه,288813,verified,0,2019-05-23 06:48:40
نسبت به اینکه دارید فیک میخرید کیفیت و قابلیت های عالیه واقعا فقط پرمصرفه مگر اینکه باتری شارژی بذارید کیفیتش خوبه خوب هم راه میره یعنی مشکلی به لحاظ حرکتی نداره و واقعا بچه هاییی که عاشق باز هستن این باز واقعیه و به نسبت اصلیش که قیمتش 5 برابر اینه این خدایی خیلی خوبه هم درش باز میشه هم بالش باز میشه هم روی فرش و همه جا راه میره هم از همه مهم تر بازلایتر اومده خونتون قیلفه اش دقیق خودشه حالا هرپی آنا السا بخرید شبیه برتز یا عروسک باربی یا شکل هرچی هست به جز شخصیت اصلیش ولین خود بازه در حدی که واقعا شبا که حواستون نیست هر چی مجسمه و دکوری و اسباب بازی و همه زندیگوتونو جمع میکنه که با هم فرار کنن,کیفیت و قابلیت های عالیه واقعا,340510,rejected,0,2019-05-23 06:39:13
با توجه به قیمت آن بسیار مناسب و کاربردی است. به راحتی داخل گوش قرار میگیرد و سیم آن نیز با کیفیت است.,پیشنهاد خرید این کالا,695206,verified,0,2019-05-23 06:36:38
خیلی بد بود خیلی ده هزارم ارزش نداره ...واقعا متاسفم برا دیجی کالا...مزخرف ترین چیزی بود ک دیدم,مزخرفه,1539739,rejected,0,2019-05-23 06:31:39
اصلا ماژیک تغییر رنگش هیچ اثری نداره فقط روی یکی دو رنگ یه زره نا محسوس ولی به عنوان ماژیک معمولی خوبه و نوکش داخل فرو نمیره البته,زیاد محصول جالبی نبود,186281,verified,0,2019-05-23 06:29:40
خیلی بد بود خیلی ده هزارم ارزش نداره ...واقعا متاسفم برا دیجی کالا,خیلی بد,1595736,rejected,0,2019-05-23 06:29:33
"بنا بر اینکه قیچی و استند نداره، میشه گفت فقط بایددر شگفت انگیز خریداری بشه.
تازه ب دستم رسیده و فعلا ک راضی هستم.",رضایتمندی مشتری,1495287,verified,0,2019-05-23 06:24:00
با سلام. دوستان من این هنذفری و رو گرفتم و میتونم به جرئت بگم از نظر بیس و وضوح صدا چیزی از هدفونای مارک بیتس کم نداره. اصن فک نمیکردم انقد خوب باشه.من خودم تو پیشنهاد ویژه نصف قیمت خریدم. حتما پیشنهاد میکنم بخرین فقط موقع دراوردن از بسته بندی مواظب باشین سیماش قطع نشن.,بهترین گزینه,191646,verified,0,2019-05-23 06:21:27
تنها محصولیه واقعا منافذ رو پاک سازی میکنه و همه دانه های سرسیاه رو بیرون میکشه البته یک ورقش برای بینی و اطراف بینی کمه برای اینکه بهتر پاک سازی کنه میتونید با قیچی نصفش کنید که بعضی جاها هوا نگیره و اگه کامل بچسبه کامل هم پاکسازی میکنه،برای تاثیر بهترش بینی رو یه کم خیس کنید چسب رو بذارید روی بینیتون بعد از پشتش قطره قطره آب بزنید بهش و یه جوری تنظیم کنید که اصلا هوا نگیره واسه همین با قیچی کوچیکش کنید بهتره و وقتی کاملا خشک شد آروم آروم جداش کنید,بهترین ماسک برای منافذ و جوش سر سیاه,106164,verified,0,2019-05-23 06:19:59
من تو تخفیف برای پسرم خریدم ، خیلی خوب,اصل,947610,verified,0,2019-05-23 06:19:39
جنس تور فعلا حریره و بسیاری از خریداران این را می پسندند ولی بهرحال سلیقه ها متفاوت است و در آینده نزدیک از تورهایی دیگر استفاده خواهد شد,جنس تور,1010912,rejected,0,2019-05-23 06:14:55
قدرتش اینقدر زیاده که اگر محکم نگیرید خودشم میچرخه ولی در نتیجه خیلی سریع و راحت نک مدادتون تیز میشه 2 تا باتری میخوره ولی خب میتونید روی حالت دستی هم بذارید تراش خوبیه و سرعتیه و واقعا با کیفیته من 2 تا ازش گرفتم،یکی برای خواهر زاده ام، تراش یدکش هم خود دی جی کالا داره من برای هر کدوم 3 تا تراش گرفتم از ترس اینکه وقتی کند شد تراشش گیر نیاد ولی تا الان با تیغ اصلی خودش هنوز نیاز به تعویض نشده و واقعا همونطور که بقیه هم گفتن هرکی میبینه میخواد ببرتش,قدرتش اینقدر زیاده که خودشم میچرخه,101177,verified,0,2019-05-23 06:13:07
عالی,کاور,573868,verified,0,2019-05-23 06:07:50
رو گردن جالب بود.دوستش داشتم.,چوکر,1415120,verified,0,2019-05-23 06:07:25
عالیه هم حجم میده هم بلند میکنه.فقط اوایلش یکم زیادی خیسه.حدودا شش هفت ماه هم دوام داره,ریمل,78075,verified,0,2019-05-23 06:06:53
چندین ساله از این خط چشم استفاده میکنم عالیه,خط چشم مای,88598,verified,0,2019-05-23 06:05:55
"من مدل 2115 با ظرفیت 1 ترا رو آخرای فروردین گرفتم 4میلیون و 100
مدل های قدیمی تر باید قیمتش مناسب‌تر بشه ولی برعکسه",چرا هر روز گرونتر میشه,193712,rejected,0,2019-05-23 06:05:54
باچه منطقی حساب کردید این قیمت توروخدا انصاف داشته باشید,تعجبی,892988,rejected,0,2019-05-23 06:05:16
خیلی خوبه ونصب آن راحت ولی قیمتش نصبت به بازار بالاتر هستش,قیمتش نصبت به بازار بالاتر هستش,56694,rejected,0,2019-05-23 06:04:06
باطری ضعیف,سومگ m3,1584116,rejected,0,2019-05-23 06:02:41
کجاش طلاس که انقد ارزونه؟,سوالم,1106292,rejected,0,2019-05-23 06:01:36
خیلی عالیه، من راضی هستم,عالیه,487121,verified,0,2019-05-23 06:00:36
من چند ساله استفاده میکنم واقعا بدون این اصلا نمیتونم موهامو شانه کنم برای هربار شانه کردن مو چه خشک یا بعد از حمام، درسته حالت تقویتی خاصی نداره ولی موها رو نرم میکنه و راحت شانه میشه و گره نمیخوره و موها آسیبی نمیبینه و بعد از خشک شدنش حالت چسبندگی روی مو نمیذاره و موها رو خشک نمیکه کاملا حالت طبیعی اصلی موهاست الکتریسیته هم نمیشه بوی آدامس خرسی میده و  حجمش هم خیلی زیاده و زود تموم نمیشه,برای شانه زدن موهای بلند عالیه,98989,verified,0,2019-05-23 05:58:34
"سلام
وزن گوشی رو زیاد میکنه دوما گوشی رو خیلی بزرگ جلوه میده و سه اینکه با این قیمت ارزش خرید نداره.",وزن زیاد,1599886,verified,0,2019-05-23 05:54:48
دقیق طبق ابعاد گوشی برش خورده و خیلی خوب روی صفحه می‌چسبنه,مناسب و کاربردی,1425124,verified,0,2019-05-23 05:53:42
"خوبه
پیشنهادی میکنم",شکیل و مجلسی,1101849,verified,0,2019-05-23 05:49:21
"سلام.
از آنجا که باتری لیتیومی بسیار به نحوه شارژ حساسه من این دستگاه رو بعد از خرید باز کردم تا مدارش رو بررسی کنم. در این دستگاه از یک آیسی شارژر همه کاره universal charger ht3582 استفاده شده که این آی سی برای شارژ باتری لیتیومی کمی نامناسبه و عمر باتریو کم میکنه و هر دو تا جای باتری به یک مدار شارژ وصل شدن که این خوب نیست. در مجموع اگر هفته ای یک یا دو بار ازش استفاده کنید و باهاش دوتا باتریو همزمان شارژ ---  نکنید  --- گزینه بدی نیست",کمی عمیقتر,566382,verified,0,2019-05-23 05:41:19
من این کالا رو سفارش دادم و با این قیمت حساب کردم اما وقتی بسته رو باز کردم متوجه شدم برای من از مدل هفت هزار تومانی فرستاده شده و جلد کالا نیمه باز بود ، من همیشه از دیجی کالا خرید میکنم و راضی بودم اما واقعا انتظار همچین چیزی رو نداشتم!!!,عدم تطابق اطلاعات کلا با کالای دریافتی!,162663,rejected,0,2019-05-23 05:40:32
اسم دستگاهو نوشتین بخور سرد بعد تو مشخصات نوشتین گرم؟,دستگاه بخور,1551729,rejected,0,2019-05-23 05:39:47
دقیق ، دیکشنری آکورد دارد ، با چراغ سبز یا قرمز صفحه خیلی سریع میتونم تشخیص بدم و تنطیم کنم از طرفی برای صرفه جویی باتری هم میشه چراغ صفحه رو خاموش کنید البته من حدود 1 سال استفاده کردم و هنوز با باتری که روش بود کار میکنه البته بعد از چند دقیقه خود به خود صفحه خاموش میشه میخواستم یکی دیگه هم از همین مدل بگیرم و هدیه بدم که موجود نبود و حیف شد,دقیق ، دیکشنری آکورد دارد ، با چراغ سبز یا قرمز,267562,verified,0,2019-05-23 05:36:18
لطف کنید زودتر وارد سایت فروش کنیدش,بوق شیپوری,171784,rejected,0,2019-05-23 05:32:22
این اسپیکر امروز به دستم رسید واقعا راضیم ازش.نسبت به قیمتش راضی تون میکنه,در خریدش شک نکنید,546470,verified,0,2019-05-23 05:31:20
خیلی عالیه حتما در پیشنهاد ویژه بخرید.خصوصا برای محصولات برند شیائومی عالی عمل میکنه,عالی و استاندارد,1496035,verified,0,2019-05-23 05:30:43
